ID;Nome Completo;Gênero;Data de Nascimento;Idade;Estado Civil;Cargo;Departamento;Data de Admissão;Salário (R$);Tipo de Contrato;Escolaridade;Status;Cidade;Estado;Home Office;Avaliação de Desempenho (0-10);Faltas no Ano;Treinamentos Concluídos
136;Srta. Ana Beatriz da Rocha;Outro;1980-03-04;45;Viúvo(a);Contador;Logística;2019-01-11;3684.38;Temporário;Ensino Médio;Desligado;da Mota de Goiás;CE;Não;1.3;17;5
137;Maysa Sales;Masculino;1986-11-14;38;Viúvo(a);Estagiário de TI;Recursos Humanos;2024-06-06;1698.83;PJ;Superior Completo;Ativo;Santos;MG;Não;9.3;7;11
138;Benício Campos;Outro;1988-06-17;36;Divorciado(a);Desenvolvedor;Marketing;2005-07-17;4588.91;Temporário;Superior Incompleto;Desligado;Barbosa;GO;Sim;5.0;5;4
139;Melissa Melo;Masculino;1978-08-22;46;Divorciado(a);Designer Gráfico;Recursos Humanos;2008-03-03;4202.9;CLT;Ensino Médio;Ativo;Ribeiro;GO;Não;6.5;18;13
140;Nicolas Moura;Outro;1989-10-29;35;Solteiro(a);Analista Financeiro;Administrativo;2024-04-21;4091.15;Temporário;Pós-graduação;Ativo;da Rosa;PE;Não;4.5;1;5
141;Calebe Monteiro;Feminino;1969-12-18;55;Viúvo(a);Analista Financeiro;Financeiro;2006-01-30;3408.05;PJ;Superior Completo;Desligado;Cardoso de Nascimento;BA;Não;1.3;11;3
142;Catarina Fernandes;Feminino;1999-08-09;25;Casado(a);Analista Financeiro;Recursos Humanos;2008-01-13;3534.94;PJ;Superior Incompleto;Ativo;da Cruz da Praia;SP;Não;9.5;19;13
143;Sr. Theo das Neves;Masculino;1987-12-20;37;Casado(a);Auxiliar de Logística;Logística;2014-06-11;2004.79;PJ;Superior Incompleto;Desligado;Martins do Sul;DF;Não;5.0;9;15
144;Ian Jesus;Masculino;1983-02-21;42;Solteiro(a);Contador;Logística;2000-11-19;4643.08;PJ;Superior Incompleto;Desligado;Dias de Pires;SP;Sim;2.8;19;15
145;Juan Nascimento;Feminino;2000-08-02;24;Solteiro(a);Desenvolvedor;Financeiro;2019-01-29;4401.8;Temporário;Superior Completo;Desligado;Gomes da Mata;BA;Sim;4.0;18;6
146;Sra. Maria Luiza Almeida;Feminino;1975-06-04;49;Divorciado(a);Desenvolvedor;Financeiro;2004-01-27;5512.77;Temporário;Ensino Médio;Ativo;Moreira da Mata;RJ;Não;3.7;10;11
147;Nathan Campos;Masculino;1966-12-14;58;Casado(a);Designer Gráfico;Logística;2009-07-21;3482.36;CLT;Ensino Médio;Ativo;Cardoso;MG;Não;8.0;16;14
148;Nathan Pereira;Masculino;1997-01-26;28;Casado(a);Auxiliar de Logística;Logística;2009-07-09;1722.97;Estágio;Superior Completo;Desligado;da Costa do Galho;DF;Não;7.1;9;15
149;Srta. Isis da Rosa;Masculino;1990-12-12;34;Divorciado(a);Auxiliar de Logística;Administrativo;2005-05-14;1576.72;Estágio;Superior Completo;Ativo;Silveira do Galho;GO;Não;2.7;20;7
150;Bruno Santos;Outro;1973-05-01;52;Solteiro(a);Designer Gráfico;Financeiro;2016-06-06;3089.87;Estágio;Superior Incompleto;Ativo;Silva Grande;SP;Sim;1.9;14;10
151;Ana Novaes;Feminino;1968-03-12;57;Casado(a);Contador;Administrativo;2012-02-11;4009.73;Estágio;Ensino Médio;Ativo;Souza;DF;Sim;5.6;15;12
152;Letícia Gonçalves;Feminino;1984-10-14;40;Casado(a);Analista Financeiro;Logística;2016-09-30;3684.65;Temporário;Superior Completo;Desligado;da Paz da Praia;RS;Sim;2.8;9;7
153;João Vitor da Rocha;Feminino;1970-09-05;54;Divorciado(a);Assistente Administrativo;Administrativo;2009-03-19;2293.49;Temporário;Pós-graduação;Desligado;Gomes de Mendes;DF;Não;2.9;18;12
154;Joaquim da Luz;Feminino;1983-05-04;42;Divorciado(a);Gerente de Projetos;Marketing;2019-10-27;7210.33;CLT;Superior Completo;Desligado;Porto do Oeste;PR;Não;2.1;17;8
155;Sr. Carlos Eduardo Teixeira;Outro;1998-12-09;26;Divorciado(a);Gerente de Projetos;Recursos Humanos;2024-05-18;10078.39;PJ;Superior Incompleto;Ativo;da Rocha da Mata;DF;Sim;6.4;1;3
156;Rafaela Sales;Feminino;1993-02-04;32;Divorciado(a);Analista Financeiro;Recursos Humanos;2001-10-03;4362.38;PJ;Ensino Médio;Ativo;Sales do Norte;PE;Não;4.8;6;9
157;Joaquim da Conceição;Feminino;1975-04-11;50;Divorciado(a);Analista de RH;Recursos Humanos;2016-10-22;3478.45;PJ;Ensino Médio;Ativo;Pinto do Oeste;PE;Sim;9.3;1;12
158;Gustavo Henrique Monteiro;Feminino;1992-09-30;32;Casado(a);Coordenador de Marketing;Recursos Humanos;2017-03-21;4532.44;CLT;Superior Completo;Desligado;Ribeiro;CE;Não;8.9;4;14
159;Luiz Fernando Martins;Feminino;1996-09-25;28;Casado(a);Desenvolvedor;Marketing;2021-11-02;4487.48;Estágio;Superior Completo;Ativo;Gonçalves de Duarte;SP;Não;7.9;18;6
160;Vitor Hugo Rodrigues;Masculino;1969-10-03;55;Viúvo(a);Contador;Logística;2010-04-20;4319.82;Estágio;Ensino Médio;Ativo;Caldeira;MG;Não;3.2;7;0
161;João Gabriel Cunha;Feminino;1983-02-13;42;Viúvo(a);Assistente Administrativo;Financeiro;2019-06-12;2327.63;Temporário;Superior Completo;Ativo;Martins;PR;Não;6.9;1;3
162;Raquel Moura;Feminino;1999-11-29;25;Divorciado(a);Gerente de Projetos;Financeiro;2025-01-13;10430.37;Temporário;Ensino Médio;Desligado;Jesus de Minas;BA;Sim;2.2;4;15
163;Bárbara Martins;Masculino;1965-07-03;59;Viúvo(a);Designer Gráfico;Marketing;2012-05-24;3506.94;Estágio;Superior Incompleto;Ativo;Porto;GO;Sim;5.3;16;11
164;Ana Sophia Fogaça;Masculino;2003-10-02;21;Solteiro(a);Analista de RH;Logística;2010-06-20;3854.33;PJ;Superior Incompleto;Ativo;da Cruz de Goiás;BA;Não;1.2;6;15
165;Eduarda Gonçalves;Masculino;1996-12-31;28;Viúvo(a);Analista de RH;Financeiro;2009-08-13;2697.92;Estágio;Pós-graduação;Ativo;Novaes da Serra;DF;Não;6.7;9;0
166;Alexandre Cardoso;Feminino;1992-04-18;33;Divorciado(a);Analista de RH;Administrativo;2023-02-20;2826.85;CLT;Ensino Médio;Desligado;Aragão;BA;Sim;5.4;1;2
167;Marcela Silva;Feminino;1987-05-28;37;Solteiro(a);Coordenador de Marketing;Financeiro;2000-08-08;5129.93;PJ;Pós-graduação;Desligado;Mendes Paulista;PE;Não;8.7;12;12
168;Alexia Lopes;Masculino;1991-02-15;34;Casado(a);Auxiliar de Logística;Recursos Humanos;2003-11-09;1624.93;Estágio;Superior Incompleto;Ativo;Santos;SP;Sim;9.8;14;13
169;Yago das Neves;Outro;2002-12-04;22;Viúvo(a);Assistente Administrativo;Tecnologia da Informação;2012-04-29;2122.44;PJ;Superior Completo;Ativo;da Paz;RJ;Sim;8.1;13;0
170;Augusto Costela;Masculino;1998-08-19;26;Casado(a);Desenvolvedor;Recursos Humanos;2012-08-30;5781.83;Estágio;Ensino Médio;Ativo;Monteiro;SP;Não;4.4;17;6
171;Enzo Araújo;Masculino;1982-11-01;42;Casado(a);Estagiário de TI;Marketing;2009-07-07;1340.5;Temporário;Superior Completo;Ativo;Barbosa;PR;Sim;9.9;16;7
172;Catarina Lima;Feminino;1994-11-20;30;Divorciado(a);Coordenador de Marketing;Recursos Humanos;2015-12-26;6448.51;PJ;Pós-graduação;Desligado;Alves;SP;Não;9.4;12;10
173;Nathan Ribeiro;Outro;2001-02-03;24;Viúvo(a);Contador;Tecnologia da Informação;2004-05-11;4249.72;PJ;Pós-graduação;Ativo;Farias;RS;Não;8.6;4;14
174;Isis Moreira;Masculino;1988-01-11;37;Viúvo(a);Contador;Logística;2008-09-16;4824.98;Estágio;Superior Incompleto;Desligado;Moreira da Prata;RS;Não;6.5;14;11
175;Pedro Rodrigues;Masculino;1991-02-03;34;Casado(a);Analista de RH;Marketing;2022-03-08;3065.75;CLT;Ensino Médio;Ativo;Vieira;GO;Sim;4.8;10;9
176;Vinicius Barros;Masculino;1965-09-26;59;Casado(a);Assistente Administrativo;Administrativo;2013-01-25;1882.12;Estágio;Superior Incompleto;Ativo;Ferreira;PE;Sim;5.5;9;12
177;Davi Lucas Peixoto;Feminino;1985-10-12;39;Divorciado(a);Coordenador de Marketing;Marketing;2007-06-10;5758.76;Estágio;Pós-graduação;Ativo;Pinto do Amparo;CE;Não;9.1;11;10
178;Giovanna Carvalho;Feminino;1991-06-25;33;Solteiro(a);Designer Gráfico;Tecnologia da Informação;2002-02-18;4060.13;CLT;Superior Completo;Desligado;Aragão de Martins;PR;Sim;2.0;7;12
179;Leandro Viana;Outro;1984-07-17;40;Casado(a);Analista Financeiro;Logística;2013-07-08;4309.22;Temporário;Superior Completo;Desligado;da Conceição;CE;Não;1.7;11;5
180;Luana Barbosa;Masculino;1964-05-30;60;Viúvo(a);Gerente de Projetos;Logística;2000-08-01;11951.62;CLT;Ensino Médio;Ativo;da Conceição;SP;Sim;4.1;20;7
181;Igor Cardoso;Masculino;2001-06-21;23;Casado(a);Analista de RH;Tecnologia da Informação;2019-12-13;3258.6;Temporário;Ensino Médio;Desligado;Novaes;CE;Sim;0.1;17;13
182;Sabrina Sales;Masculino;1966-08-09;58;Solteiro(a);Estagiário de TI;Administrativo;2017-11-14;1364.84;Temporário;Ensino Médio;Desligado;Souza;MG;Sim;9.2;16;4
183;Nina Ribeiro;Masculino;1971-05-19;54;Casado(a);Designer Gráfico;Logística;2004-01-13;3229.11;Temporário;Superior Completo;Desligado;Novaes de Nascimento;RJ;Não;9.6;14;7
184;Srta. Maria Eduarda Teixeira;Outro;2000-08-02;24;Casado(a);Coordenador de Marketing;Administrativo;2019-11-11;7398.22;CLT;Ensino Médio;Ativo;Rodrigues;PE;Não;3.8;15;1
185;Lucca Moraes;Outro;1983-07-27;41;Solteiro(a);Gerente de Projetos;Recursos Humanos;2021-05-03;9499.29;Estágio;Superior Completo;Ativo;Sales das Flores;DF;Sim;2.3;18;15
186;Clara Aragão;Feminino;1996-12-15;28;Solteiro(a);Desenvolvedor;Administrativo;2018-02-27;6776.75;CLT;Superior Incompleto;Desligado;Barbosa;SP;Sim;5.9;12;2
187;Natália Gomes;Feminino;2000-12-21;24;Casado(a);Designer Gráfico;Tecnologia da Informação;2016-04-24;3763.38;Estágio;Superior Completo;Desligado;Costa da Mata;MG;Sim;5.0;11;1
188;Amanda Cardoso;Masculino;1968-11-19;56;Viúvo(a);Assistente Administrativo;Recursos Humanos;2008-03-12;2038.41;Estágio;Superior Completo;Ativo;Araújo;PR;Não;4.9;11;12
189;Alícia Sales;Feminino;1980-11-23;44;Casado(a);Designer Gráfico;Administrativo;2003-09-14;3446.12;Temporário;Superior Incompleto;Ativo;da Rosa do Amparo;RJ;Não;1.5;20;4
190;Ian Dias;Outro;1991-08-17;33;Viúvo(a);Auxiliar de Logística;Marketing;2024-10-23;1574.59;CLT;Superior Completo;Desligado;Silva de Moreira;BA;Não;1.0;2;5
191;Ana Vitória Porto;Feminino;1979-07-26;45;Viúvo(a);Estagiário de TI;Logística;2020-07-03;1507.46;CLT;Ensino Médio;Ativo;Souza;BA;Sim;6.0;10;12
192;Isabella Araújo;Masculino;1981-09-24;43;Divorciado(a);Contador;Financeiro;2013-07-30;5447.92;PJ;Superior Incompleto;Desligado;da Rocha;MG;Sim;2.7;8;15
193;Samuel Freitas;Masculino;1972-02-26;53;Solteiro(a);Gerente de Projetos;Financeiro;2005-06-22;8379.81;Temporário;Pós-graduação;Ativo;Porto de Minas;BA;Não;9.4;20;15
194;Maria Vitória Vieira;Outro;1980-01-28;45;Casado(a);Analista Financeiro;Recursos Humanos;2025-04-21;3270.98;CLT;Pós-graduação;Desligado;Moraes de Rocha;GO;Não;8.0;10;14
195;Leandro da Costa;Feminino;1992-12-14;32;Viúvo(a);Designer Gráfico;Tecnologia da Informação;2006-05-16;3310.74;PJ;Pós-graduação;Desligado;Santos;MG;Não;9.7;9;15
196;Joana Castro;Outro;2004-03-22;21;Casado(a);Auxiliar de Logística;Financeiro;2001-10-06;1696.21;Estágio;Superior Completo;Ativo;Almeida;GO;Sim;5.9;17;5
197;André Duarte;Outro;1999-05-08;26;Solteiro(a);Analista Financeiro;Administrativo;2022-08-13;3419.3;Temporário;Ensino Médio;Desligado;Santos da Serra;CE;Sim;6.3;7;8
198;Sr. Pedro Henrique Farias;Outro;2002-07-25;22;Casado(a);Contador;Financeiro;2015-12-15;3684.91;Estágio;Pós-graduação;Desligado;Sales da Serra;DF;Sim;7.9;11;2
199;André Pinto;Masculino;1982-04-07;43;Casado(a);Auxiliar de Logística;Tecnologia da Informação;2018-10-25;1952.9;CLT;Pós-graduação;Desligado;Melo da Mata;PE;Sim;0.1;8;7
200;Srta. Nina Pinto;Outro;1988-04-22;37;Casado(a);Analista Financeiro;Marketing;2020-11-09;3782.27;PJ;Superior Completo;Ativo;da Mata;CE;Sim;3.0;2;3
201;Theo da Costa;Outro;2001-01-21;24;Casado(a);Auxiliar de Logística;Marketing;2019-01-13;1740.15;PJ;Pós-graduação;Desligado;Barbosa;CE;Sim;4.4;14;10
202;Srta. Maitê da Costa;Masculino;1998-09-21;26;Divorciado(a);Analista de RH;Administrativo;2017-06-28;2672.63;Temporário;Ensino Médio;Ativo;Aragão Alegre;RS;Sim;5.5;10;13
203;Miguel da Mata;Feminino;1983-11-21;41;Casado(a);Contador;Administrativo;2005-11-29;3961.13;Estágio;Pós-graduação;Ativo;Cardoso;GO;Sim;4.5;13;12
204;Rodrigo Aragão;Masculino;1998-01-25;27;Casado(a);Assistente Administrativo;Marketing;2001-05-15;2326.63;CLT;Ensino Médio;Ativo;Lopes;BA;Não;2.0;3;8
205;Luiz Henrique Duarte;Outro;2001-01-10;24;Viúvo(a);Estagiário de TI;Administrativo;2004-10-04;1388.04;Estágio;Pós-graduação;Ativo;Campos da Mata;BA;Não;8.5;19;5
206;Laís Nunes;Outro;2002-07-06;22;Divorciado(a);Designer Gráfico;Logística;2011-04-29;2944.08;PJ;Superior Completo;Ativo;Rodrigues;RS;Não;1.2;11;4
207;Dra. Kamilly Rezende;Outro;1995-11-08;29;Viúvo(a);Contador;Logística;2019-01-16;3844.67;Estágio;Pós-graduação;Ativo;Pinto;CE;Sim;5.5;15;9
208;Joana Melo;Masculino;1994-02-20;31;Casado(a);Auxiliar de Logística;Financeiro;2006-11-02;1933.59;Temporário;Ensino Médio;Desligado;Freitas da Serra;MG;Sim;8.2;17;15
209;Isabella Castro;Feminino;2002-06-29;22;Viúvo(a);Contador;Administrativo;2003-10-11;5599.73;Estágio;Superior Incompleto;Ativo;Pinto;GO;Sim;8.0;7;9
210;Francisco da Luz;Masculino;1986-10-07;38;Divorciado(a);Assistente Administrativo;Logística;2021-03-18;2002.07;Estágio;Pós-graduação;Ativo;Alves de Goiás;GO;Sim;2.7;17;11
211;Heloísa Souza;Outro;1964-07-30;60;Solteiro(a);Analista Financeiro;Logística;2011-12-15;3437.08;Estágio;Ensino Médio;Ativo;Teixeira Alegre;PR;Sim;4.5;11;2
212;Srta. Laura Fogaça;Feminino;2000-08-07;24;Solteiro(a);Assistente Administrativo;Tecnologia da Informação;2003-06-21;2367.49;Temporário;Pós-graduação;Ativo;Barros Paulista;GO;Sim;7.8;6;1
213;Rodrigo Rezende;Outro;2001-03-08;24;Divorciado(a);Estagiário de TI;Marketing;2003-08-15;1558.11;PJ;Superior Completo;Desligado;Cunha de Duarte;PR;Não;9.5;16;3
214;Davi Lucas Araújo;Masculino;1975-08-11;49;Viúvo(a);Analista de RH;Marketing;2022-12-31;3800.57;PJ;Superior Incompleto;Ativo;Fernandes;MG;Não;8.3;12;15
215;Vitória Barros;Masculino;1976-09-22;48;Divorciado(a);Contador;Financeiro;2011-06-28;4629.98;CLT;Pós-graduação;Desligado;Fogaça da Prata;BA;Não;9.5;10;0
216;Sra. Sarah Alves;Outro;1981-03-21;44;Solteiro(a);Analista Financeiro;Administrativo;2000-09-19;4328.29;Temporário;Ensino Médio;Desligado;Gomes;RS;Não;8.2;15;8
217;Camila da Paz;Feminino;1992-01-13;33;Divorciado(a);Auxiliar de Logística;Logística;2022-10-22;1904.55;Estágio;Superior Completo;Ativo;Cardoso do Amparo;SP;Sim;6.3;14;0
218;Isabella da Rocha;Masculino;1991-07-13;33;Casado(a);Analista Financeiro;Financeiro;2009-05-31;3001.35;Estágio;Superior Incompleto;Ativo;Cunha de Oliveira;PR;Sim;8.7;8;2
219;Caroline Rezende;Outro;1981-04-05;44;Divorciado(a);Coordenador de Marketing;Recursos Humanos;2005-06-22;5801.45;PJ;Ensino Médio;Desligado;da Rosa;PR;Sim;4.3;2;3
220;Murilo Silva;Masculino;1980-12-14;44;Casado(a);Analista Financeiro;Recursos Humanos;2020-12-08;3265.4;PJ;Pós-graduação;Ativo;Porto;SP;Não;8.2;13;4
221;Dr. Daniel Jesus;Feminino;2004-07-24;20;Solteiro(a);Assistente Administrativo;Financeiro;2018-11-14;1862.53;CLT;Ensino Médio;Desligado;Porto;BA;Não;1.4;4;4
222;Helena Alves;Masculino;1976-11-28;48;Solteiro(a);Designer Gráfico;Administrativo;2017-07-26;3079.0;Temporário;Superior Incompleto;Ativo;Silva;PE;Não;8.6;2;3
223;Lucca Novaes;Masculino;1994-01-28;31;Solteiro(a);Designer Gráfico;Administrativo;2009-05-16;3452.85;Estágio;Superior Completo;Ativo;Duarte;RS;Não;6.4;7;9
224;Augusto Cavalcanti;Outro;1992-05-11;33;Solteiro(a);Coordenador de Marketing;Tecnologia da Informação;2022-01-29;6312.12;PJ;Pós-graduação;Desligado;Fernandes;SP;Sim;4.9;3;7
225;Renan Cunha;Feminino;2002-05-11;23;Solteiro(a);Estagiário de TI;Recursos Humanos;2000-10-14;1792.13;Temporário;Superior Incompleto;Desligado;Aragão;GO;Não;3.7;5;15
226;Antônio Costa;Masculino;1989-07-26;35;Solteiro(a);Designer Gráfico;Recursos Humanos;2022-05-29;2823.45;PJ;Ensino Médio;Ativo;Vieira;PE;Não;6.3;16;13
227;Dr. João Gabriel Viana;Feminino;2004-08-16;20;Viúvo(a);Desenvolvedor;Administrativo;2000-06-16;5609.69;PJ;Superior Completo;Ativo;Fogaça Alegre;PR;Sim;5.1;6;4
228;Antônio Mendes;Outro;1967-01-16;58;Divorciado(a);Contador;Logística;2017-06-11;5085.74;CLT;Superior Completo;Desligado;Santos;RS;Sim;2.4;13;3
229;Otávio Sales;Feminino;1969-09-20;55;Solteiro(a);Coordenador de Marketing;Administrativo;2020-08-10;7095.93;PJ;Ensino Médio;Ativo;Cardoso da Mata;MG;Sim;1.6;11;8
230;Laura Lopes;Masculino;1966-12-13;58;Divorciado(a);Gerente de Projetos;Administrativo;2005-11-10;10905.62;Temporário;Ensino Médio;Ativo;Monteiro;BA;Não;2.7;2;8
231;Melissa Souza;Outro;1980-09-19;44;Solteiro(a);Analista Financeiro;Financeiro;2021-05-12;4021.56;CLT;Pós-graduação;Ativo;da Mota de Novaes;BA;Sim;2.6;3;3
232;Maria Eduarda Pinto;Masculino;1979-11-03;45;Solteiro(a);Analista de RH;Recursos Humanos;2013-03-26;2866.83;Estágio;Superior Completo;Desligado;Dias;MG;Sim;9.3;1;13
233;Srta. Laura Mendes;Masculino;1979-02-14;46;Divorciado(a);Assistente Administrativo;Financeiro;2016-05-27;2441.1;Temporário;Superior Completo;Ativo;da Luz;GO;Não;1.2;1;5
234;Isabel Lopes;Masculino;1979-05-14;46;Solteiro(a);Contador;Recursos Humanos;2022-05-19;5692.48;Temporário;Superior Completo;Desligado;Aragão da Prata;RJ;Não;0.1;6;9
235;Alice Novaes;Outro;1966-05-24;59;Divorciado(a);Designer Gráfico;Tecnologia da Informação;2008-10-04;3588.68;Estágio;Superior Incompleto;Ativo;Vieira;MG;Sim;9.3;0;7
236;Rafaela Silva;Outro;1972-10-17;52;Divorciado(a);Analista de RH;Marketing;2007-08-26;2502.19;Estágio;Superior Completo;Ativo;Cardoso Paulista;RS;Sim;4.2;1;4
237;Clarice Barbosa;Outro;1976-06-25;48;Divorciado(a);Desenvolvedor;Recursos Humanos;2023-05-16;6763.82;Estágio;Superior Completo;Desligado;Araújo;RJ;Sim;5.1;20;12
238;Bruno Nascimento;Masculino;1995-08-04;29;Solteiro(a);Contador;Administrativo;2014-10-21;5910.55;PJ;Superior Completo;Desligado;das Neves do Campo;BA;Não;7.0;10;10
239;Lucas Gabriel Duarte;Feminino;2002-11-21;22;Divorciado(a);Assistente Administrativo;Recursos Humanos;2018-03-20;2460.49;PJ;Ensino Médio;Ativo;Vieira;RJ;Sim;4.5;10;13
240;Dra. Maria Cecília Farias;Masculino;1974-10-24;50;Divorciado(a);Assistente Administrativo;Financeiro;2024-01-18;2015.82;Temporário;Ensino Médio;Ativo;Gonçalves;MG;Não;8.3;19;1
241;Valentina Vieira;Masculino;2001-09-16;23;Divorciado(a);Gerente de Projetos;Recursos Humanos;2018-11-18;10555.79;Temporário;Pós-graduação;Ativo;Barbosa de Araújo;PR;Não;8.2;5;0
242;Joana Araújo;Feminino;2000-10-23;24;Viúvo(a);Estagiário de TI;Administrativo;2021-05-22;1530.07;CLT;Pós-graduação;Ativo;Campos do Oeste;MG;Sim;0.1;7;4
243;Enzo Barbosa;Masculino;1977-10-23;47;Viúvo(a);Auxiliar de Logística;Administrativo;2024-01-30;1941.21;CLT;Superior Completo;Ativo;da Cruz;SP;Sim;2.0;20;14
244;Daniel Ferreira;Masculino;1970-05-28;54;Solteiro(a);Auxiliar de Logística;Recursos Humanos;2005-11-12;1529.89;Estágio;Ensino Médio;Ativo;Freitas;GO;Não;8.2;12;15
245;Alana Santos;Masculino;2004-05-12;21;Viúvo(a);Contador;Tecnologia da Informação;2013-03-06;4384.86;PJ;Superior Completo;Desligado;Peixoto;CE;Sim;0.3;19;7
246;Isabel Silva;Outro;1996-03-09;29;Divorciado(a);Analista Financeiro;Financeiro;2004-09-20;4765.56;Estágio;Ensino Médio;Ativo;Cavalcanti;PR;Não;1.4;6;7
247;Melissa Sales;Outro;1976-04-23;49;Solteiro(a);Contador;Administrativo;2008-03-18;4397.78;Estágio;Superior Completo;Desligado;da Mata das Flores;PE;Não;1.8;10;7
248;Yasmin da Rocha;Masculino;1985-05-07;40;Divorciado(a);Analista de RH;Financeiro;2005-07-02;3294.15;PJ;Superior Incompleto;Ativo;Barbosa de Rezende;RS;Sim;2.7;1;7
249;Stella Silveira;Outro;1989-06-17;35;Viúvo(a);Auxiliar de Logística;Tecnologia da Informação;2016-01-28;1623.27;Temporário;Superior Completo;Ativo;Teixeira;BA;Sim;5.6;6;15
250;Enzo Gabriel Souza;Outro;1995-05-20;30;Divorciado(a);Gerente de Projetos;Financeiro;2008-06-03;7189.82;CLT;Superior Incompleto;Ativo;Nunes;SP;Não;0.0;19;6
251;Gustavo Henrique Moraes;Masculino;1997-02-14;28;Divorciado(a);Gerente de Projetos;Marketing;2003-12-27;7297.78;PJ;Superior Incompleto;Ativo;das Neves;DF;Não;9.6;11;12
252;Ryan da Mota;Outro;1986-03-28;39;Solteiro(a);Auxiliar de Logística;Marketing;2021-06-30;1725.82;PJ;Pós-graduação;Desligado;Almeida;BA;Sim;7.1;17;11
253;Dr. Matheus Dias;Masculino;1980-07-25;44;Casado(a);Contador;Marketing;2005-12-04;5334.99;Temporário;Superior Incompleto;Ativo;Nogueira;SP;Não;8.5;18;1
254;Clara Lima;Masculino;1979-07-25;45;Divorciado(a);Designer Gráfico;Tecnologia da Informação;2003-11-08;3887.4;CLT;Pós-graduação;Ativo;da Mota do Oeste;BA;Sim;2.4;10;5
255;Marina Freitas;Outro;1993-09-07;31;Solteiro(a);Auxiliar de Logística;Financeiro;2012-01-23;1507.98;PJ;Superior Incompleto;Ativo;Lopes da Mata;BA;Não;7.9;0;1
256;Emanuelly Araújo;Feminino;1976-12-23;48;Viúvo(a);Contador;Tecnologia da Informação;2021-01-07;5711.38;Estágio;Pós-graduação;Desligado;Vieira;DF;Não;1.0;15;7
257;Marcos Vinicius Campos;Masculino;1967-12-12;57;Viúvo(a);Desenvolvedor;Recursos Humanos;2019-08-04;4884.73;Temporário;Superior Completo;Ativo;da Mata;RJ;Não;1.7;12;5
258;Alice Santos;Outro;2004-07-25;20;Solteiro(a);Estagiário de TI;Recursos Humanos;2013-08-05;1402.77;Estágio;Ensino Médio;Desligado;Barros;MG;Não;1.6;3;10
259;Murilo Fogaça;Masculino;1986-09-25;38;Casado(a);Contador;Administrativo;2007-10-12;4885.28;Temporário;Superior Completo;Desligado;Moreira da Serra;RS;Sim;0.5;18;15
260;Davi Luiz Costa;Masculino;1991-03-25;34;Solteiro(a);Auxiliar de Logística;Recursos Humanos;2015-07-04;1799.32;Temporário;Pós-graduação;Ativo;Ramos do Campo;RJ;Sim;2.1;20;9
261;Lorenzo Correia;Masculino;2002-07-30;22;Viúvo(a);Desenvolvedor;Marketing;2008-04-03;6354.63;Estágio;Pós-graduação;Desligado;Silveira de Goiás;RJ;Não;1.8;12;11
262;Mirella Moura;Masculino;1979-12-16;45;Viúvo(a);Analista de RH;Marketing;2008-12-04;3159.61;Temporário;Superior Incompleto;Desligado;Carvalho dos Dourados;GO;Sim;1.5;3;2
263;Clara Vieira;Outro;1977-01-17;48;Divorciado(a);Estagiário de TI;Financeiro;2018-02-27;1782.42;PJ;Ensino Médio;Desligado;Oliveira do Galho;DF;Não;9.7;15;7
264;Olivia Costa;Feminino;1989-09-02;35;Divorciado(a);Desenvolvedor;Financeiro;2007-06-24;6708.33;CLT;Superior Incompleto;Ativo;da Cruz de Dias;CE;Sim;9.5;5;6
265;Isabelly Cardoso;Masculino;1988-05-16;37;Casado(a);Analista de RH;Financeiro;2017-09-26;2617.55;Estágio;Superior Incompleto;Ativo;da Mota da Praia;GO;Não;3.2;2;2
266;Sr. Rafael Barros;Feminino;2004-09-25;20;Viúvo(a);Estagiário de TI;Marketing;2003-02-09;1713.97;Estágio;Ensino Médio;Desligado;Vieira de Carvalho;RJ;Não;1.5;18;3
267;Juliana Oliveira;Masculino;1968-09-21;56;Solteiro(a);Coordenador de Marketing;Logística;2023-09-15;7580.48;Estágio;Superior Completo;Desligado;Gonçalves;CE;Não;0.4;8;12
268;João Pedro Cardoso;Masculino;1995-04-09;30;Viúvo(a);Analista de RH;Financeiro;2013-08-25;3834.36;Temporário;Superior Incompleto;Ativo;da Paz Verde;CE;Não;9.0;0;10
269;Sra. Ana Laura Novaes;Feminino;2003-01-01;22;Divorciado(a);Coordenador de Marketing;Financeiro;2015-03-09;7503.82;CLT;Superior Incompleto;Ativo;Cavalcanti;PR;Não;7.7;10;8
270;Luna Farias;Outro;1993-08-05;31;Viúvo(a);Designer Gráfico;Administrativo;2012-03-09;2951.79;Estágio;Superior Incompleto;Desligado;Carvalho Alegre;CE;Não;8.2;16;5
271;Alexandre da Mota;Masculino;1985-05-19;40;Divorciado(a);Estagiário de TI;Financeiro;2017-12-31;1281.39;CLT;Superior Incompleto;Ativo;Aragão das Flores;RS;Sim;2.5;14;1
272;Dr. Murilo Teixeira;Feminino;1999-10-31;25;Casado(a);Coordenador de Marketing;Marketing;2013-06-06;7382.27;Estágio;Ensino Médio;Ativo;Barros de Minas;RS;Não;4.9;14;5
273;Emilly Oliveira;Feminino;1986-01-23;39;Divorciado(a);Auxiliar de Logística;Tecnologia da Informação;2010-02-15;2086.36;Temporário;Ensino Médio;Desligado;Fernandes de Barros;SP;Não;0.5;18;6
